customer_id,customer_name,segment,industry,state,signup_date,status,account_manager
C00099,Customer-00099,SMB,Finance,NY,2022-03-15,active,AM-024
C00100,Customer-00100,Startup,Retail,FL,2023-04-16,active,AM-025
C00101,Customer-00101,Enterprise,Technology,IL,2024-05-17,active,AM-026
C00102,Customer-00102,Mid-Market,Logistics,WA,2025-06-18,active,AM-027
C00103,Customer-00103,SMB,Energy,MA,2020-07-19,active,AM-028
C00104,Customer-00104,Startup,Education,CO,2021-08-20,active,AM-029
C00105,Customer-00105,Enterprise,Manufacturing,NC,2022-09-21,active,AM-030
C00106,Customer-00106,Mid-Market,Healthcare,GA,2023-10-22,active,AM-031
C00107,Customer-00107,SMB,Finance,AZ,2024-11-23,active,AM-032
C00108,Customer-00108,Startup,Retail,VA,2025-12-24,active,AM-033
C00109,Customer-00109,Enterprise,Technology,CA,2020-01-25,active,AM-034
C00110,Customer-00110,Mid-Market,Logistics,TX,2021-02-26,active,AM-035
C00111,Customer-00111,SMB,Energy,NY,2022-03-27,active,AM-036
C00112,Customer-00112,Startup,Education,FL,2023-04-28,active,AM-037
C00113,Customer-00113,Enterprise,Manufacturing,IL,2024-05-01,active,AM-038
C00114,Customer-00114,Mid-Market,Healthcare,WA,2025-06-02,churned,AM-039
C00115,Customer-00115,SMB,Finance,MA,2020-07-03,active,AM-040
C00116,Customer-00116,Startup,Retail,CO,2021-08-04,active,AM-041
C00117,Customer-00117,Enterprise,Technology,NC,2022-09-05,active,AM-042
C00118,Customer-00118,Mid-Market,Logistics,GA,2023-10-06,active,AM-043
C00119,Customer-00119,SMB,Energy,AZ,2024-11-07,active,AM-044
C00120,Customer-00120,Startup,Education,VA,2025-12-08,active,AM-045
C00121,Customer-00121,Enterprise,Manufacturing,CA,2020-01-09,active,AM-046
C00122,Customer-00122,Mid-Market,Healthcare,TX,2021-02-10,active,AM-047
C00123,Customer-00123,SMB,Finance,NY,2022-03-11,active,AM-048
C00124,Customer-00124,Startup,Retail,FL,2023-04-12,active,AM-049
C00125,Customer-00125,Enterprise,Technology,IL,2024-05-13,active,AM-050
C00126,Customer-00126,Mid-Market,Logistics,WA,2025-06-14,active,AM-051
C00127,Customer-00127,SMB,Energy,MA,2020-07-15,active,AM-052
C00128,Customer-00128,Startup,Education,CO,2021-08-16,active,AM-053
C00129,Customer-00129,Enterprise,Manufacturing,NC,2022-09-17,active,AM-054
C00130,Customer-00130,Mid-Market,Healthcare,GA,2023-10-18,active,AM-055
C00131,Customer-00131,SMB,Finance,AZ,2024-11-19,active,AM-056
C00132,Customer-00132,Startup,Retail,VA,2025-12-20,active,AM-057
C00133,Customer-00133,Enterprise,Technology,CA,2020-01-21,churned,AM-058
C00134,Customer-00134,Mid-Market,Logistics,TX,2021-02-22,active,AM-059
C00135,Customer-00135,SMB,Energy,NY,2022-03-23,active,AM-060
C00136,Customer-00136,Startup,Education,FL,2023-04-24,active,AM-061
C00137,Customer-00137,Enterprise,Manufacturing,IL,2024-05-25,active,AM-062
C00138,Customer-00138,Mid-Market,Healthcare,WA,2025-06-26,active,AM-063
C00139,Customer-00139,SMB,Finance,MA,2020-07-27,active,AM-064
C00140,Customer-00140,Startup,Retail,CO,2021-08-28,active,AM-065
C00141,Customer-00141,Enterprise,Technology,NC,2022-09-01,active,AM-066
C00142,Customer-00142,Mid-Market,Logistics,GA,2023-10-02,active,AM-067
C00143,Customer-00143,SMB,Energy,AZ,2024-11-03,active,AM-068
C00144,Customer-00144,Startup,Education,VA,2025-12-04,active,AM-069
C00145,Customer-00145,Enterprise,Manufacturing,CA,2020-01-05,active,AM-070
C00146,Customer-00146,Mid-Market,Healthcare,TX,2021-02-06,active,AM-071
C00147,Customer-00147,SMB,Finance,NY,2022-03-07,active,AM-072
C00148,Customer-00148,Startup,Retail,FL,2023-04-08,active,AM-073
C00149,Customer-00149,Enterprise,Technology,IL,2024-05-09,active,AM-074
C00150,Customer-00150,Mid-Market,Logistics,WA,2025-06-10,active,AM-075
C00151,Customer-00151,SMB,Energy,MA,2020-07-11,active,AM-001
C00152,Customer-00152,Startup,Education,CO,2021-08-12,churned,AM-002
C00153,Customer-00153,Enterprise,Manufacturing,NC,2022-09-13,active,AM-003
C00154,Customer-00154,Mid-Market,Healthcare,GA,2023-10-14,active,AM-004
C00155,Customer-00155,SMB,Finance,AZ,2024-11-15,active,AM-005
C00156,Customer-00156,Startup,Retail,VA,2025-12-16,active,AM-006
C00157,Customer-00157,Enterprise,Technology,CA,2020-01-17,active,AM-007
C00158,Customer-00158,Mid-Market,Logistics,TX,2021-02-18,active,AM-008
C00159,Customer-00159,SMB,Energy,NY,2022-03-19,active,AM-009
C00160,Customer-00160,Startup,Education,FL,2023-04-20,active,AM-010
C00161,Customer-00161,Enterprise,Manufacturing,IL,2024-05-21,active,AM-011
C00162,Customer-00162,Mid-Market,Healthcare,WA,2025-06-22,active,AM-012
C00163,Customer-00163,SMB,Finance,MA,2020-07-23,active,AM-013
C00164,Customer-00164,Startup,Retail,CO,2021-08-24,active,AM-014
C00165,Customer-00165,Enterprise,Technology,NC,2022-09-25,active,AM-015
C00166,Customer-00166,Mid-Market,Logistics,GA,2023-10-26,active,AM-016
C00167,Customer-00167,SMB,Energy,AZ,2024-11-27,active,AM-017
C00168,Customer-00168,Startup,Education,VA,2025-12-28,active,AM-018
C00169,Customer-00169,Enterprise,Manufacturing,CA,2020-01-01,active,AM-019
C00170,Customer-00170,Mid-Market,Healthcare,TX,2021-02-02,active,AM-020
C00171,Customer-00171,SMB,Finance,NY,2022-03-03,churned,AM-021
C00172,Customer-00172,Startup,Retail,FL,2023-04-04,active,AM-022
C00173,Customer-00173,Enterprise,Technology,IL,2024-05-05,active,AM-023
C00174,Customer-00174,Mid-Market,Logistics,WA,2025-06-06,active,AM-024
C00175,Customer-00175,SMB,Energy,MA,2020-07-07,active,AM-025
C00176,Customer-00176,Startup,Education,CO,2021-08-08,active,AM-026
C00177,Customer-00177,Enterprise,Manufacturing,NC,2022-09-09,active,AM-027
C00178,Customer-00178,Mid-Market,Healthcare,GA,2023-10-10,active,AM-028
C00179,Customer-00179,SMB,Finance,AZ,2024-11-11,active,AM-029
C00180,Customer-00180,Startup,Retail,VA,2025-12-12,active,AM-030
C00181,Customer-00181,Enterprise,Technology,CA,2020-01-13,active,AM-031
C00182,Customer-00182,Mid-Market,Logistics,TX,2021-02-14,active,AM-032
C00183,Customer-00183,SMB,Energy,NY,2022-03-15,active,AM-033
C00184,Customer-00184,Startup,Education,FL,2023-04-16,active,AM-034
C00185,Customer-00185,Enterprise,Manufacturing,IL,2024-05-17,active,AM-035
C00186,Customer-00186,Mid-Market,Healthcare,WA,2025-06-18,active,AM-036
C00187,Customer-00187,SMB,Finance,MA,2020-07-19,active,AM-037
C00188,Customer-00188,Startup,Retail,CO,2021-08-20,active,AM-038
C00189,Customer-00189,Enterprise,Technology,NC,2022-09-21,active,AM-039
C00190,Customer-00190,Mid-Market,Logistics,GA,2023-10-22,churned,AM-040
C00191,Customer-00191,SMB,Energy,AZ,2024-11-23,active,AM-041
C00192,Customer-00192,Startup,Education,VA,2025-12-24,active,AM-042
C00193,Customer-00193,Enterprise,Manufacturing,CA,2020-01-25,active,AM-043
C00194,Customer-00194,Mid-Market,Healthcare,TX,2021-02-26,active,AM-044
C00195,Customer-00195,SMB,Finance,NY,2022-03-27,active,AM-045
C00196,Customer-00196,Startup,Retail,FL,2023-04-28,active,AM-046
C00197,Customer-00197,Enterprise,Technology,IL,2024-05-01,active,AM-047
C00198,Customer-00198,Mid-Market,Logistics,WA,2025-06-02,active,AM-048
C00199,Customer-00199,SMB,Energy,MA,2020-07-03,active,AM-049
C00200,Customer-00200,Startup,Education,CO,2021-08-04,active,AM-050
C00201,Customer-00201,Enterprise,Manufacturing,NC,2022-09-05,active,AM-051
C00202,Customer-00202,Mid-Market,Healthcare,GA,2023-10-06,active,AM-052
C00203,Customer-00203,SMB,Finance,AZ,2024-11-07,active,AM-053
C00204,Customer-00204,Startup,Retail,VA,2025-12-08,active,AM-054
C00205,Customer-00205,Enterprise,Technology,CA,2020-01-09,active,AM-055
C00206,Customer-00206,Mid-Market,Logistics,TX,2021-02-10,active,AM-056
C00207,Customer-00207,SMB,Energy,NY,2022-03-11,active,AM-057
C00208,Customer-00208,Startup,Education,FL,2023-04-12,active,AM-058
C00209,Customer-00209,Enterprise,Manufacturing,IL,2024-05-13,churned,AM-059
C00210,Customer-00210,Mid-Market,Healthcare,WA,2025-06-14,active,AM-060
C00211,Customer-00211,SMB,Finance,MA,2020-07-15,active,AM-061
C00212,Customer-00212,Startup,Retail,CO,2021-08-16,active,AM-062
C00213,Customer-00213,Enterprise,Technology,NC,2022-09-17,active,AM-063
C00214,Customer-00214,Mid-Market,Logistics,GA,2023-10-18,active,AM-064
C00215,Customer-00215,SMB,Energy,AZ,2024-11-19,active,AM-065
C00216,Customer-00216,Startup,Education,VA,2025-12-20,active,AM-066
C00217,Customer-00217,Enterprise,Manufacturing,CA,2020-01-21,active,AM-067
C00218,Customer-00218,Mid-Market,Healthcare,TX,2021-02-22,active,AM-068
C00219,Customer-00219,SMB,Finance,NY,2022-03-23,active,AM-069
C00220,Customer-00220,Startup,Retail,FL,2023-04-24,active,AM-070
C00221,Customer-00221,Enterprise,Technology,IL,2024-05-25,active,AM-071
C00222,Customer-00222,Mid-Market,Logistics,WA,2025-06-26,active,AM-072
C00223,Customer-00223,SMB,Energy,MA,2020-07-27,active,AM-073
C00224,Customer-00224,Startup,Education,CO,2021-08-28,active,AM-074
C00225,Customer-00225,Enterprise,Manufacturing,NC,2022-09-01,active,AM-075
C00226,Customer-00226,Mid-Market,Healthcare,GA,2023-10-02,active,AM-001
C00227,Customer-00227,SMB,Finance,AZ,2024-11-03,active,AM-002
C00228,Customer-00228,Startup,Retail,VA,2025-12-04,churned,AM-003
C00229,Customer-00229,Enterprise,Technology,CA,2020-01-05,active,AM-004
C00230,Customer-00230,Mid-Market,Logistics,TX,2021-02-06,active,AM-005
C00231,Customer-00231,SMB,Energy,NY,2022-03-07,active,AM-006
C00232,Customer-00232,Startup,Education,FL,2023-04-08,active,AM-007
C00233,Customer-00233,Enterprise,Manufacturing,IL,2024-05-09,active,AM-008
C00234,Customer-00234,Mid-Market,Healthcare,WA,2025-06-10,active,AM-009
C00235,Customer-00235,SMB,Finance,MA,2020-07-11,active,AM-010
C00236,Customer-00236,Startup,Retail,CO,2021-08-12,active,AM-011
C00237,Customer-00237,Enterprise,Technology,NC,2022-09-13,active,AM-012
C00238,Customer-00238,Mid-Market,Logistics,GA,2023-10-14,active,AM-013
C00239,Customer-00239,SMB,Energy,AZ,2024-11-15,active,AM-014
C00240,Customer-00240,Startup,Education,VA,2025-12-16,active,AM-015
C00241,Customer-00241,Enterprise,Manufacturing,CA,2020-01-17,active,AM-016
C00242,Customer-00242,Mid-Market,Healthcare,TX,2021-02-18,active,AM-017
C00243,Customer-00243,SMB,Finance,NY,2022-03-19,active,AM-018
C00244,Customer-00244,Startup,Retail,FL,2023-04-20,active,AM-019
C00245,Customer-00245,Enterprise,Technology,IL,2024-05-21,active,AM-020
C00246,Customer-00246,Mid-Market,Logistics,WA,2025-06-22,active,AM-021
C00247,Customer-00247,SMB,Energy,MA,2020-07-23,churned,AM-022
C00248,Customer-00248,Startup,Education,CO,2021-08-24,active,AM-023
C00249,Customer-00249,Enterprise,Manufacturing,NC,2022-09-25,active,AM-024
C00250,Customer-00250,Mid-Market,Healthcare,GA,2023-10-26,active,AM-025
C00251,Customer-00251,SMB,Finance,AZ,2024-11-27,active,AM-026
C00252,Customer-00252,Startup,Retail,VA,2025-12-28,active,AM-027
C00253,Customer-00253,Enterprise,Technology,CA,2020-01-01,active,AM-028
C00254,Customer-00254,Mid-Market,Logistics,TX,2021-02-02,active,AM-029
C00255,Customer-00255,SMB,Energy,NY,2022-03-03,active,AM-030
C00256,Customer-00256,Startup,Education,FL,2023-04-04,active,AM-031
C00257,Customer-00257,Enterprise,Manufacturing,IL,2024-05-05,active,AM-032
C00258,Customer-00258,Mid-Market,Healthcare,WA,2025-06-06,active,AM-033
C00259,Customer-00259,SMB,Finance,MA,2020-07-07,active,AM-034
C00260,Customer-00260,Startup,Retail,CO,2021-08-08,active,AM-035
C00261,Customer-00261,Enterprise,Technology,NC,2022-09-09,active,AM-036
C00262,Customer-00262,Mid-Market,Logistics,GA,2023-10-10,active,AM-037
C00263,Customer-00263,SMB,Energy,AZ,2024-11-11,active,AM-038
C00264,Customer-00264,Startup,Education,VA,2025-12-12,active,AM-039
C00265,Customer-00265,Enterprise,Manufacturing,CA,2020-01-13,active,AM-040
C00266,Customer-00266,Mid-Market,Healthcare,TX,2021-02-14,churned,AM-041
C00267,Customer-00267,SMB,Finance,NY,2022-03-15,active,AM-042
C00268,Customer-00268,Startup,Retail,FL,2023-04-16,active,AM-043
C00269,Customer-00269,Enterprise,Technology,IL,2024-05-17,active,AM-044
C00270,Customer-00270,Mid-Market,Logistics,WA,2025-06-18,active,AM-045
C00271,Customer-00271,SMB,Energy,MA,2020-07-19,active,AM-046
C00272,Customer-00272,Startup,Education,CO,2021-08-20,active,AM-047
C00273,Customer-00273,Enterprise,Manufacturing,NC,2022-09-21,active,AM-048
C00274,Customer-00274,Mid-Market,Healthcare,GA,2023-10-22,active,AM-049
C00275,Customer-00275,SMB,Finance,AZ,2024-11-23,active,AM-050
C00276,Customer-00276,Startup,Retail,VA,2025-12-24,active,AM-051
C00277,Customer-00277,Enterprise,Technology,CA,2020-01-25,active,AM-052
C00278,Customer-00278,Mid-Market,Logistics,TX,2021-02-26,active,AM-053
C00279,Customer-00279,SMB,Energy,NY,2022-03-27,active,AM-054
C00280,Customer-00280,Startup,Education,FL,2023-04-28,active,AM-055
C00281,Customer-00281,Enterprise,Manufacturing,IL,2024-05-01,active,AM-056
C00282,Customer-00282,Mid-Market,Healthcare,WA,2025-06-02,active,AM-057
C00283,Customer-00283,SMB,Finance,MA,2020-07-03,active,AM-058
C00284,Customer-00284,Startup,Retail,CO,2021-08-04,active,AM-059
C00285,Customer-00285,Enterprise,Technology,NC,2022-09-05,churned,AM-060
C00286,Customer-00286,Mid-Market,Logistics,GA,2023-10-06,active,AM-061
C00287,Customer-00287,SMB,Energy,AZ,2024-11-07,active,AM-062
C00288,Customer-00288,Startup,Education,VA,2025-12-08,active,AM-063
C00289,Customer-00289,Enterprise,Manufacturing,CA,2020-01-09,active,AM-064
C00290,Customer-00290,Mid-Market,Healthcare,TX,2021-02-10,active,AM-065
C00291,Customer-00291,SMB,Finance,NY,2022-03-11,active,AM-066
C00292,Customer-00292,Startup,Retail,FL,2023-04-12,active,AM-067
C00293,Customer-00293,Enterprise,Technology,IL,2024-05-13,active,AM-068
C00294,Customer-00294,Mid-Market,Logistics,WA,2025-06-14,active,AM-069
C00295,Customer-00295,SMB,Energy,MA,2020-07-15,active,AM-070
C00296,Customer-00296,Startup,Education,CO,2021-08-16,active,AM-071
C00297,Customer-00297,Enterprise,Manufacturing,NC,2022-09-17,active,AM-072
C00298,Customer-00298,Mid-Market,Healthcare,GA,2023-10-18,active,AM-073
C00299,Customer-00299,SMB,Finance,AZ,2024-11-19,active,AM-074
C00300,Customer-00300,Startup,Retail,VA,2025-12-20,active,AM-075
C00301,Customer-00301,Enterprise,Technology,CA,2020-01-21,active,AM-001
C00302,Customer-00302,Mid-Market,Logistics,TX,2021-02-22,active,AM-002
C00303,Customer-00303,SMB,Energy,NY,2022-03-23,active,AM-003
C00304,Customer-00304,Startup,Education,FL,2023-04-24,churned,AM-004
C00305,Customer-00305,Enterprise,Manufacturing,IL,2024-05-25,active,AM-005
C00306,Customer-00306,Mid-Market,Healthcare,WA,2025-06-26,active,AM-006
C00307,Customer-00307,SMB,Finance,MA,2020-07-27,active,AM-007
C00308,Customer-00308,Startup,Retail,CO,2021-08-28,active,AM-008
C00309,Customer-00309,Enterprise,Technology,NC,2022-09-01,active,AM-009
C00310,Customer-00310,Mid-Market,Logistics,GA,2023-10-02,active,AM-010
C00311,Customer-00311,SMB,Energy,AZ,2024-11-03,active,AM-011
C00312,Customer-00312,Startup,Education,VA,2025-12-04,active,AM-012
C00313,Customer-00313,Enterprise,Manufacturing,CA,2020-01-05,active,AM-013
C00314,Customer-00314,Mid-Market,Healthcare,TX,2021-02-06,active,AM-014
C00315,Customer-00315,SMB,Finance,NY,2022-03-07,active,AM-015
C00316,Customer-00316,Startup,Retail,FL,2023-04-08,active,AM-016
C00317,Customer-00317,Enterprise,Technology,IL,2024-05-09,active,AM-017
C00318,Customer-00318,Mid-Market,Logistics,WA,2025-06-10,active,AM-018
C00319,Customer-00319,SMB,Energy,MA,2020-07-11,active,AM-019
C00320,Customer-00320,Startup,Education,CO,2021-08-12,active,AM-020
C00321,Customer-00321,Enterprise,Manufacturing,NC,2022-09-13,active,AM-021
C00322,Customer-00322,Mid-Market,Healthcare,GA,2023-10-14,active,AM-022
C00323,Customer-00323,SMB,Finance,AZ,2024-11-15,churned,AM-023
C00324,Customer-00324,Startup,Retail,VA,2025-12-16,active,AM-024
C00325,Customer-00325,Enterprise,Technology,CA,2020-01-17,active,AM-025
C00326,Customer-00326,Mid-Market,Logistics,TX,2021-02-18,active,AM-026
C00327,Customer-00327,SMB,Energy,NY,2022-03-19,active,AM-027
C00328,Customer-00328,Startup,Education,FL,2023-04-20,active,AM-028
C00329,Customer-00329,Enterprise,Manufacturing,IL,2024-05-21,active,AM-029
C00330,Customer-00330,Mid-Market,Healthcare,WA,2025-06-22,active,AM-030
C00331,Customer-00331,SMB,Finance,MA,2020-07-23,active,AM-031
C00332,Customer-00332,Startup,Retail,CO,2021-08-24,active,AM-032
C00333,Customer-00333,Enterprise,Technology,NC,2022-09-25,active,AM-033
C00334,Customer-00334,Mid-Market,Logistics,GA,2023-10-26,active,AM-034
C00335,Customer-00335,SMB,Energy,AZ,2024-11-27,active,AM-035
C00336,Customer-00336,Startup,Education,VA,2025-12-28,active,AM-036
C00337,Customer-00337,Enterprise,Manufacturing,CA,2020-01-01,active,AM-037
C00338,Customer-00338,Mid-Market,Healthcare,TX,2021-02-02,active,AM-038
C00339,Customer-00339,SMB,Finance,NY,2022-03-03,active,AM-039
C00340,Customer-00340,Startup,Retail,FL,2023-04-04,active,AM-040
C00341,Customer-00341,Enterprise,Technology,IL,2024-05-05,active,AM-041
C00342,Customer-00342,Mid-Market,Logistics,WA,2025-06-06,churned,AM-042
C00343,Customer-00343,SMB,Energy,MA,2020-07-07,active,AM-043
C00344,Customer-00344,Startup,Education,CO,2021-08-08,active,AM-044
C00345,Customer-00345,Enterprise,Manufacturing,NC,2022-09-09,active,AM-045
C00346,Customer-00346,Mid-Market,Healthcare,GA,2023-10-10,active,AM-046
C00347,Customer-00347,SMB,Finance,AZ,2024-11-11,active,AM-047
C00348,Customer-00348,Startup,Retail,VA,2025-12-12,active,AM-048
C00349,Customer-00349,Enterprise,Technology,CA,2020-01-13,active,AM-049
C00350,Customer-00350,Mid-Market,Logistics,TX,2021-02-14,active,AM-050
C00351,Customer-00351,SMB,Energy,NY,2022-03-15,active,AM-051
C00352,Customer-00352,Startup,Education,FL,2023-04-16,active,AM-052
C00353,Customer-00353,Enterprise,Manufacturing,IL,2024-05-17,active,AM-053
C00354,Customer-00354,Mid-Market,Healthcare,WA,2025-06-18,active,AM-054
C00355,Customer-00355,SMB,Finance,MA,2020-07-19,active,AM-055
C00356,Customer-00356,Startup,Retail,CO,2021-08-20,active,AM-056
C00357,Customer-00357,Enterprise,Technology,NC,2022-09-21,active,AM-057
C00358,Customer-00358,Mid-Market,Logistics,GA,2023-10-22,active,AM-058
C00359,Customer-00359,SMB,Energy,AZ,2024-11-23,active,AM-059
C00360,Customer-00360,Startup,Education,VA,2025-12-24,active,AM-060
C00361,Customer-00361,Enterprise,Manufacturing,CA,2020-01-25,churned,AM-061
C00362,Customer-00362,Mid-Market,Healthcare,TX,2021-02-26,active,AM-062
C00363,Customer-00363,SMB,Finance,NY,2022-03-27,active,AM-063
C00364,Customer-00364,Startup,Retail,FL,2023-04-28,active,AM-064
C00365,Customer-00365,Enterprise,Technology,IL,2024-05-01,active,AM-065
C00366,Customer-00366,Mid-Market,Logistics,WA,2025-06-02,active,AM-066
