sale_id,sale_date,customer_id,product_id,sales_channel,region,quantity,unit_price,discount_pct,gross_sales,net_sales,cost,profit,promo_code,payment_method,is_returned
S000031,2025-02-03,C00031,P0217,Direct,Central,2,611.00,0.06,1222.00,1148.68,827.05,321.63,PROMO-C,Wire,false
S000032,2025-02-04,C00032,P0224,InsideSales,South,3,14.80,0.09,44.41,40.41,30.11,10.30,PROMO-D,Invoice,false
S000033,2025-02-05,C00033,P0231,Online,West,4,203.70,0.12,814.80,717.02,408.70,308.32,PROMO-A,Card,false
S000034,2025-02-06,C00034,P0238,Partner,East,5,198.97,0.15,994.85,845.62,503.15,342.48,PROMO-B,ACH,false
S000035,2025-02-07,C00035,P0245,Direct,Central,6,350.00,0.18,2100.00,1722.00,1067.64,654.36,,Wire,false
S000036,2025-02-08,C00036,P0252,InsideSales,South,7,36.03,0.00,252.23,252.23,162.69,89.54,PROMO-D,Invoice,false
S000037,2025-02-09,C00037,P0259,Online,West,8,248.16,0.03,1985.28,1925.72,1290.23,635.49,PROMO-A,Card,false
S000038,2025-02-10,C00038,P0266,Partner,East,9,181.45,0.06,1633.05,1535.07,1066.87,468.20,PROMO-B,ACH,false
S000039,2025-02-11,C00039,P0273,Direct,Central,10,533.50,0.09,5335.00,4854.85,3495.49,1359.36,PROMO-C,Wire,false
S000040,2025-02-12,C00040,P0280,InsideSales,South,11,54.67,0.12,601.34,529.18,394.24,134.94,,Invoice,false
S000041,2025-02-13,C00041,P0287,Online,West,12,318.00,0.15,3816.00,3243.60,1848.85,1394.75,PROMO-A,Card,true
S000042,2025-02-14,C00042,P0294,Partner,East,13,180.67,0.18,2348.71,1925.94,1145.94,780.01,PROMO-B,ACH,false
S000043,2025-02-15,C00043,P0301,Direct,Central,14,235.00,0.00,3290.00,3290.00,2039.80,1250.20,PROMO-C,Wire,false
S000044,2025-02-16,C00044,P0308,InsideSales,South,15,24.35,0.03,365.29,354.33,228.54,125.79,PROMO-D,Invoice,false
S000045,2025-02-17,C00045,P0315,Online,West,1,360.84,0.06,360.84,339.19,227.26,111.93,,Card,false
S000046,2025-02-18,C00046,P0322,Partner,East,2,163.51,0.09,327.02,297.59,206.82,90.76,PROMO-B,ACH,false
S000047,2025-02-19,C00047,P0329,Direct,Central,3,450.00,0.12,1350.00,1188.00,855.36,332.64,PROMO-C,Wire,false
S000048,2025-02-20,C00048,P0336,InsideSales,South,4,46.18,0.15,184.73,157.02,116.98,40.04,PROMO-D,Invoice,false
S000049,2025-02-21,C00049,P0343,Online,West,5,400.44,0.18,2002.20,1641.80,935.83,705.98,PROMO-A,Card,false
S000050,2025-02-22,C00050,P0350,Partner,East,6,147.07,0.00,882.42,882.42,525.04,357.38,,ACH,false
S000051,2025-02-23,C00051,P0357,Direct,Central,7,630.50,0.03,4413.50,4281.10,2654.28,1626.82,PROMO-C,Wire,false
S000052,2025-02-24,C00052,P0364,InsideSales,South,8,15.27,0.06,122.14,114.81,74.05,40.76,PROMO-D,Invoice,false
S000053,2025-02-25,C00053,P0371,Online,West,9,480.00,0.09,4320.00,3931.20,2633.90,1297.30,PROMO-A,Card,false
S000054,2025-02-26,C00054,P0378,Partner,East,10,144.13,0.12,1441.30,1268.34,881.50,386.84,PROMO-B,ACH,false
S000055,2025-02-27,C00055,P0385,Direct,Central,11,329.00,0.15,3619.00,3076.15,2214.83,861.32,,Wire,false
S000056,2025-02-28,C00056,P0392,InsideSales,South,12,33.90,0.18,406.83,333.60,248.53,85.07,PROMO-D,Invoice,false
S000057,2025-02-01,C00057,P0399,Online,West,13,517.98,0.00,6733.74,6733.74,3838.23,2895.51,PROMO-A,Card,false
S000058,2025-02-02,C00058,P0006,Partner,East,14,68.95,0.03,965.30,936.34,557.12,379.22,PROMO-B,ACH,false
S000059,2025-02-03,C00059,P0013,Direct,Central,15,550.00,0.06,8250.00,7755.00,4808.10,2946.90,PROMO-C,Wire,false
S000060,2025-02-04,C00060,P0020,InsideSales,South,1,56.33,0.09,56.33,51.26,33.06,18.20,,Invoice,false
S000061,2025-03-05,C00061,P0027,Online,West,2,129.72,0.12,259.44,228.31,152.97,75.34,PROMO-A,Card,false
S000062,2025-03-06,C00062,P0034,Partner,East,3,55.39,0.15,166.17,141.24,98.16,43.08,PROMO-B,ACH,false
S000063,2025-03-07,C00063,P0041,Direct,Central,4,242.50,0.18,970.00,795.40,572.69,222.71,PROMO-C,Wire,false
S000064,2025-03-08,C00064,P0048,InsideSales,South,5,25.12,0.00,125.59,125.59,93.56,32.02,PROMO-D,Invoice,false
S000065,2025-03-09,C00065,P0055,Online,West,6,192.00,0.03,1152.00,1117.44,636.94,480.50,,Card,false
S000066,2025-03-10,C00066,P0062,Partner,East,7,46.69,0.06,326.83,307.22,182.80,124.42,PROMO-B,ACH,false
S000067,2025-03-11,C00067,P0069,Direct,Central,8,423.00,0.09,3384.00,3079.44,1909.25,1170.19,PROMO-C,Wire,false
S000068,2025-03-12,C00068,P0076,InsideSales,South,9,43.45,0.12,391.07,344.14,221.97,122.17,PROMO-D,Invoice,false
S000069,2025-03-13,C00069,P0083,Online,West,10,238.62,0.15,2386.20,2028.27,1358.94,669.33,PROMO-A,Card,false
S000070,2025-03-14,C00070,P0090,Partner,East,11,210.79,0.18,2318.69,1901.33,1321.42,579.90,,ACH,false
S000071,2025-03-15,C00071,P0097,Direct,Central,12,650.00,0.00,7800.00,7800.00,5616.00,2184.00,PROMO-C,Wire,false
S000072,2025-03-16,C00072,P0104,InsideSales,South,13,15.73,0.03,204.52,198.39,147.80,50.59,PROMO-D,Invoice,false
S000073,2025-03-17,C00073,P0111,Online,West,14,282.00,0.06,3948.00,3711.12,2115.34,1595.78,PROMO-A,Card,false
S000074,2025-03-18,C00074,P0118,Partner,East,15,192.91,0.09,2893.65,2633.22,1566.77,1066.45,PROMO-B,ACH,false
S000075,2025-03-19,C00075,P0125,Direct,Central,1,339.50,0.12,339.50,298.76,185.23,113.53,,Wire,false
S000076,2025-03-20,C00076,P0132,InsideSales,South,2,34.97,0.15,69.94,59.44,38.34,21.10,PROMO-D,Invoice,false
S000077,2025-03-21,C00077,P0139,Online,West,3,354.00,0.18,1062.00,870.84,583.46,287.38,PROMO-A,Card,false
S000078,2025-03-22,C00078,P0146,Partner,East,4,192.85,0.00,771.40,771.40,536.12,235.28,PROMO-B,ACH,false
S000079,2025-03-23,C00079,P0153,Direct,Central,5,517.00,0.03,2585.00,2507.45,1805.36,702.09,PROMO-C,Wire,false
S000080,2025-03-24,C00080,P0160,InsideSales,South,6,53.00,0.06,318.01,298.93,222.71,76.23,,Invoice,false
S000081,2025-03-25,C00081,P0167,Online,West,7,395.76,0.09,2770.32,2520.99,1436.96,1084.03,PROMO-A,Card,false
S000082,2025-03-26,C00082,P0174,Partner,East,8,175.33,0.12,1402.64,1234.32,734.42,499.90,PROMO-B,ACH,true
S000083,2025-03-27,C00083,P0181,Direct,Central,9,250.00,0.15,2250.00,1912.50,1185.75,726.75,PROMO-C,Wire,false
S000084,2025-03-28,C00084,P0188,InsideSales,South,10,25.88,0.18,258.82,212.24,136.89,75.34,PROMO-D,Invoice,false
S000085,2025-03-01,C00085,P0195,Online,West,11,434.28,0.00,4777.08,4777.08,3200.64,1576.44,,Card,false
S000086,2025-03-02,C00086,P0202,Partner,East,12,158.53,0.03,1902.36,1845.29,1282.48,562.81,PROMO-B,ACH,false
S000087,2025-03-03,C00087,P0209,Direct,Central,13,436.50,0.06,5674.50,5334.03,3840.50,1493.53,PROMO-C,Wire,false
S000088,2025-03-04,C00088,P0216,InsideSales,South,14,44.82,0.09,627.45,570.97,425.38,145.60,PROMO-D,Invoice,false
S000089,2025-03-05,C00089,P0223,Online,West,15,516.00,0.12,7740.00,6811.20,3882.38,2928.82,PROMO-A,Card,false
S000090,2025-03-06,C00090,P0230,Partner,East,1,156.31,0.15,156.31,132.86,79.05,53.81,,ACH,false
S000091,2025-04-07,C00091,P0237,Direct,Central,2,611.00,0.18,1222.00,1002.04,621.26,380.78,PROMO-C,Wire,false
S000092,2025-04-08,C00092,P0244,InsideSales,South,3,14.80,0.00,44.41,44.41,28.64,15.76,PROMO-D,Invoice,false
S000093,2025-04-09,C00093,P0251,Online,West,4,116.40,0.03,465.60,451.63,302.59,149.04,PROMO-A,Card,false
S000094,2025-04-10,C00094,P0258,Partner,East,5,139.87,0.06,699.35,657.39,456.89,200.50,PROMO-B,ACH,false
S000095,2025-04-11,C00095,P0265,Direct,Central,6,350.00,0.09,2100.00,1911.00,1375.92,535.08,,Wire,false
S000096,2025-04-12,C00096,P0272,InsideSales,South,7,36.03,0.12,252.23,221.96,165.36,56.60,PROMO-D,Invoice,false
S000097,2025-04-13,C99999,P0279,Online,West,8,163.56,0.15,1308.48,1112.21,633.96,478.25,PROMO-A,Card,false
S000098,2025-04-14,C00098,P0286,Partner,East,9,124.15,0.18,1117.35,916.23,545.16,371.07,PROMO-B,ACH,false
S000099,2025-04-15,C00099,P0293,Direct,Central,10,533.50,0.00,5335.00,5335.00,3307.70,2027.30,PROMO-C,Wire,false
S000100,2025-04-16,C00100,P0300,InsideSales,South,11,54.67,0.03,601.34,583.30,376.23,207.07,,Invoice,false
S000101,2025-04-17,C00101,P0307,Online,West,12,228.00,0.06,2736.00,2571.84,1723.13,848.71,PROMO-A,Card,false
S000102,2025-04-18,C00102,P0314,Partner,East,13,119.77,0.09,1557.01,1416.88,984.73,432.15,PROMO-B,ACH,false
S000103,2025-04-19,C00103,P0321,Direct,Central,14,235.00,0.12,3290.00,2895.20,2084.54,810.66,PROMO-C,Wire,false
S000104,2025-04-20,C00104,P0328,InsideSales,South,15,24.35,0.15,365.29,310.49,231.32,79.18,PROMO-D,Invoice,false
S000105,2025-04-21,C00105,P0335,Online,West,1,273.54,0.18,273.54,224.30,127.85,96.45,,Card,false
S000106,2025-04-22,C00106,P0342,Partner,East,2,104.41,0.00,208.82,208.82,124.25,84.57,PROMO-B,ACH,false
S000107,2025-04-23,C00107,P0349,Direct,Central,3,450.00,0.03,1350.00,1309.50,811.89,497.61,PROMO-C,Wire,false
S000108,2025-04-24,C00108,P0356,InsideSales,South,4,46.18,0.06,184.73,173.65,112.00,61.64,PROMO-D,Invoice,false
S000109,2025-04-25,C00109,P0363,Online,West,5,315.84,0.09,1579.20,1437.07,962.84,474.23,PROMO-A,Card,false
S000110,2025-04-26,C00110,P0370,Partner,East,6,89.77,0.12,538.62,473.99,329.42,144.57,,ACH,false
S000111,2025-04-27,C00111,P0377,Direct,Central,7,630.50,0.15,4413.50,3751.47,2701.06,1050.41,PROMO-C,Wire,false
S000112,2025-04-28,C00112,P0384,InsideSales,South,8,15.27,0.18,122.14,100.15,74.62,25.54,PROMO-D,Invoice,false
S000113,2025-04-01,C00113,P0391,Online,West,9,390.00,0.00,3510.00,3510.00,2000.70,1509.30,PROMO-A,Card,false
S000114,2025-04-02,C00114,P0398,Partner,East,10,83.23,0.03,832.30,807.33,480.36,326.97,PROMO-B,ACH,false
S000115,2025-04-03,C00115,P0005,Direct,Central,11,329.00,0.06,3619.00,3401.86,2109.15,1292.71,,Wire,false
S000116,2025-04-04,C00116,P0012,InsideSales,South,12,33.90,0.09,406.83,370.22,238.79,131.43,PROMO-D,Invoice,false
S000117,2025-04-05,C00117,P0019,Online,West,13,430.68,0.12,5598.84,4926.98,3301.08,1625.90,PROMO-A,Card,false
S000118,2025-04-06,C00118,P0026,Partner,East,14,187.15,0.15,2620.10,2227.09,1547.82,679.26,PROMO-B,ACH,false
S000119,2025-04-07,C00119,P0033,Direct,Central,15,550.00,0.18,8250.00,6765.00,4870.80,1894.20,PROMO-C,Wire,false
S000120,2025-04-08,C00120,P0040,InsideSales,South,1,56.33,0.00,56.33,56.33,41.97,14.36,,Invoice,false
S000121,2025-05-09,C00121,P0047,Online,West,2,468.12,0.03,936.24,908.15,517.65,390.51,PROMO-A,Card,false
S000122,2025-05-10,C00122,P0054,Partner,East,3,169.99,0.06,509.97,479.37,285.23,194.15,PROMO-B,ACH,false
S000123,2025-05-11,C00123,P0061,Direct,Central,4,242.50,0.09,970.00,882.70,547.27,335.43,PROMO-C,Wire,true
S000124,2025-05-12,C00124,P0068,InsideSales,South,5,25.12,0.12,125.59,110.52,71.28,39.23,PROMO-D,Invoice,false
S000125,2025-05-13,C00125,P0075,Online,West,6,552.00,0.15,3312.00,2815.20,1886.18,929.02,,Card,false
S000126,2025-05-14,C00126,P0082,Partner,East,7,168.49,0.18,1179.43,967.13,672.16,294.98,PROMO-B,ACH,false
S000127,2025-05-15,C00127,P0089,Direct,Central,8,423.00,0.00,3384.00,3384.00,2436.48,947.52,PROMO-C,Wire,false
S000128,2025-05-16,C00128,P0096,InsideSales,South,9,43.45,0.03,391.07,379.34,282.61,96.73,PROMO-D,Invoice,false
S000129,2025-05-17,C00129,P0103,Online,West,10,151.32,0.06,1513.20,1422.41,810.77,611.64,PROMO-A,Card,false
S000130,2025-05-18,C00130,P0110,Partner,East,11,151.69,0.09,1668.59,1518.42,903.46,614.96,,ACH,false
S000131,2025-05-19,C00131,P9999,Direct,Central,12,199.00,0.12,2388.00,2101.44,1302.89,798.55,PROMO-C,Wire,false
S000132,2025-05-20,C00132,P0124,InsideSales,South,13,15.73,0.15,204.52,173.84,112.13,61.71,PROMO-D,Invoice,false
S000133,2025-05-21,C00133,P0131,Online,West,14,197.40,0.18,2763.60,2266.15,1518.32,747.83,PROMO-A,Card,false
S000134,2025-05-22,C00134,P0138,Partner,East,15,135.61,0.00,2034.15,2034.15,1413.73,620.42,PROMO-B,ACH,false
S000135,2025-05-23,C00135,P0145,Direct,Central,1,339.50,0.03,339.50,329.31,237.11,92.21,,Wire,false
S000136,2025-05-24,C00136,P0152,InsideSales,South,2,34.97,0.06,69.94,65.74,48.98,16.76,PROMO-D,Invoice,false
S000137,2025-05-25,C00137,P0159,Online,West,3,264.00,0.09,792.00,720.72,410.81,309.91,PROMO-A,Card,false
S000138,2025-05-26,C00138,P0166,Partner,East,4,131.95,0.12,527.80,464.46,276.36,188.11,PROMO-B,ACH,false
S000139,2025-05-27,C00139,P0173,Direct,Central,5,517.00,0.15,2585.00,2197.25,1362.30,834.95,PROMO-C,Wire,false
S000140,2025-05-28,C00140,P0180,InsideSales,South,6,53.00,0.18,318.01,260.77,168.20,92.57,,Invoice,false
S000141,2025-05-01,C00141,P0187,Online,West,7,308.46,0.00,2159.22,2159.22,1446.68,712.54,PROMO-A,Card,false
S000142,2025-05-02,C00142,P0194,Partner,East,8,116.23,0.03,929.84,901.94,626.85,275.09,PROMO-B,ACH,false
S000143,2025-05-03,C00143,P0201,Direct,Central,9,250.00,0.06,2250.00,2115.00,1522.80,592.20,PROMO-C,Wire,false
S000144,2025-05-04,C00144,P0208,InsideSales,South,10,25.88,0.09,258.82,235.53,175.47,60.06,PROMO-D,Invoice,false
S000145,2025-05-05,C00145,P0215,Online,West,11,349.68,0.12,3846.48,3384.90,1929.39,1455.51,,Card,false
S000146,2025-05-06,C00146,P0222,Partner,East,12,101.23,0.15,1214.76,1032.55,614.36,418.18,PROMO-B,ACH,false
S000147,2025-05-07,C00147,P0229,Direct,Central,13,436.50,0.18,5674.50,4653.09,2884.92,1768.17,PROMO-C,Wire,false
S000148,2025-05-08,C00148,P0236,InsideSales,South,14,44.82,0.00,627.45,627.45,404.70,222.74,PROMO-D,Invoice,false
S000149,2025-05-09,C00149,P0243,Online,West,15,426.00,0.03,6390.00,6198.30,4152.86,2045.44,PROMO-A,Card,false
S000150,2025-05-10,C00150,P0250,Partner,East,1,95.41,0.06,95.41,89.69,62.33,27.35,,ACH,false
S000151,2025-06-11,C00151,P0257,Direct,Central,2,611.00,0.09,1222.00,1112.02,800.65,311.37,PROMO-C,Wire,false
S000152,2025-06-12,C00152,P0264,InsideSales,South,3,14.80,0.12,44.41,39.08,29.11,9.97,PROMO-D,Invoice,false
S000153,2025-06-13,C00153,P0271,Online,West,4,465.60,0.15,1862.40,1583.04,902.33,680.71,PROMO-A,Card,false
S000154,2025-06-14,C00154,P0278,Partner,East,5,80.77,0.18,403.85,331.16,197.04,134.12,PROMO-B,ACH,false
S000155,2025-06-15,C00155,P0285,Direct,Central,6,350.00,0.00,2100.00,2100.00,1302.00,798.00,,Wire,false
S000156,2025-06-16,C00156,P0292,InsideSales,South,7,36.03,0.03,252.23,244.66,157.81,86.85,PROMO-D,Invoice,false
S000157,2025-06-17,C00157,P0299,Online,West,8,501.96,0.06,4015.68,3774.74,2529.08,1245.66,PROMO-A,Card,false
S000158,2025-06-18,C00158,P0306,Partner,East,9,66.85,0.09,601.65,547.50,380.51,166.99,PROMO-B,ACH,false
S000159,2025-06-19,C00159,P0313,Direct,Central,10,533.50,0.12,5335.00,4694.80,3380.26,1314.54,PROMO-C,Wire,false
S000160,2025-06-20,C00160,P0320,InsideSales,South,11,54.67,0.15,601.34,511.14,380.80,130.34,,Invoice,false
S000161,2025-06-21,C00161,P0327,Online,West,12,138.00,0.18,1656.00,1357.92,774.01,583.91,PROMO-A,Card,false
S000162,2025-06-22,C00162,P0334,Partner,East,13,58.87,0.00,765.31,765.31,455.36,309.95,PROMO-B,ACH,false
S000163,2025-06-23,C00163,P0341,Direct,Central,14,235.00,0.03,3290.00,3191.30,1978.61,1212.69,PROMO-C,Wire,false
S000164,2025-06-24,C00164,P0348,InsideSales,South,15,24.35,0.06,365.29,343.37,221.47,121.90,PROMO-D,Invoice,true
S000165,2025-06-25,C00165,P0355,Online,West,1,186.24,0.09,186.24,169.48,113.55,55.93,,Card,false
S000166,2025-06-26,C00166,P0362,Partner,East,2,45.31,0.12,90.62,79.75,55.42,24.32,PROMO-B,ACH,false
S000167,2025-06-27,C00167,P0369,Direct,Central,3,450.00,0.15,1350.00,1147.50,826.20,321.30,PROMO-C,Wire,false
S000168,2025-06-28,C00168,P0376,InsideSales,South,4,46.18,0.18,184.73,151.48,112.85,38.63,PROMO-D,Invoice,false
S000169,2025-06-01,C00169,P0383,Online,West,5,231.24,0.00,1156.20,1156.20,659.03,497.17,PROMO-A,Card,false
S000170,2025-06-02,C00170,P0390,Partner,East,6,204.37,0.03,1226.22,1189.43,707.71,481.72,,ACH,false
S000171,2025-06-03,C00171,P0397,Direct,Central,7,630.50,0.06,4413.50,4148.69,2572.19,1576.50,PROMO-C,Wire,false
S000172,2025-06-04,C00172,P0004,InsideSales,South,8,15.27,0.09,122.14,111.15,71.69,39.46,PROMO-D,Invoice,false
S000173,2025-06-05,C00173,P0011,Online,West,9,300.00,0.12,2700.00,2376.00,1591.92,784.08,PROMO-A,Card,false
S000174,2025-06-06,C00174,P0018,Partner,East,10,144.13,0.15,1441.30,1225.11,851.45,373.66,PROMO-B,ACH,false
S000175,2025-06-07,C00175,P0025,Direct,Central,11,329.00,0.18,3619.00,2967.58,2136.66,830.92,,Wire,false
S000176,2025-06-08,C00176,P0032,InsideSales,South,12,33.90,0.00,406.83,406.83,303.09,103.74,PROMO-D,Invoice,false
S000177,2025-06-09,C00177,P0039,Online,West,13,343.38,0.03,4463.94,4330.02,2468.11,1861.91,PROMO-A,Card,false
S000178,2025-06-10,C00178,P0046,Partner,East,14,128.05,0.06,1792.70,1685.14,1002.66,682.48,PROMO-B,ACH,false
S000179,2025-06-11,C00179,P0053,Direct,Central,15,550.00,0.09,8250.00,7507.50,4654.65,2852.85,PROMO-C,Wire,false
S000180,2025-06-12,C00180,P0060,InsideSales,South,1,56.33,0.12,56.33,49.57,31.97,17.60,,Invoice,false
S000181,2025-07-13,C00181,P0067,Online,West,2,383.52,0.15,767.04,651.98,436.83,215.15,PROMO-A,Card,false
S000182,2025-07-14,C00182,P0074,Partner,East,3,112.69,0.18,338.07,277.22,192.67,84.55,PROMO-B,ACH,false
S000183,2025-07-15,C00183,P0081,Direct,Central,4,242.50,0.00,970.00,970.00,698.40,271.60,PROMO-C,Wire,false
S000184,2025-07-16,C00184,P0088,InsideSales,South,5,25.12,0.03,125.59,121.82,90.76,31.06,PROMO-D,Invoice,false
S000185,2025-07-17,C00185,P0095,Online,West,6,462.00,0.06,2772.00,2605.68,1485.24,1120.44,,Card,false
S000186,2025-07-18,C00186,P0102,Partner,East,7,107.59,0.09,753.13,685.35,407.78,277.57,PROMO-B,ACH,false
S000187,2025-07-19,C00187,P0109,Direct,Central,8,423.00,0.12,3384.00,2977.92,1846.31,1131.61,PROMO-C,Wire,false
S000188,2025-07-20,C00188,P0116,InsideSales,South,9,43.45,0.15,391.07,332.41,214.41,118.01,PROMO-D,Invoice,false
S000189,2025-07-21,C00189,P0123,Online,West,10,500.52,0.18,5005.20,4104.26,2749.86,1354.41,PROMO-A,Card,false
S000190,2025-07-22,C00190,P0130,Partner,East,11,92.59,0.00,1018.49,1018.49,707.85,310.64,,ACH,false
S000191,2025-07-23,C00191,P0137,Direct,Central,12,650.00,0.03,7800.00,7566.00,5447.52,2118.48,PROMO-C,Wire,false
S000192,2025-07-24,C00192,P0144,InsideSales,South,13,15.73,0.06,204.52,192.25,143.23,49.02,PROMO-D,Invoice,false
S000193,2025-07-25,C00193,P0151,Online,West,14,112.80,0.09,1579.20,1437.07,819.13,617.94,PROMO-A,Card,false
S000194,2025-07-26,C99999,P0158,Partner,East,15,78.31,0.12,1174.65,1033.69,615.05,418.65,PROMO-B,ACH,false
S000195,2025-07-27,C00195,P0165,Direct,Central,1,339.50,0.15,339.50,288.57,178.92,109.66,,Wire,false
S000196,2025-07-28,C00196,P0172,InsideSales,South,2,34.97,0.18,69.94,57.35,36.99,20.36,PROMO-D,Invoice,false
S000197,2025-07-01,C00197,P0179,Online,West,3,174.00,0.00,522.00,522.00,349.74,172.26,PROMO-A,Card,false
S000198,2025-07-02,C00198,P0186,Partner,East,4,71.05,0.03,284.20,275.67,191.59,84.08,PROMO-B,ACH,false
S000199,2025-07-03,C00199,P0193,Direct,Central,5,517.00,0.06,2585.00,2429.90,1749.53,680.37,PROMO-C,Wire,false
S000200,2025-07-04,C00200,P0200,InsideSales,South,6,53.00,0.09,318.01,289.39,215.60,73.80,,Invoice,false
S000201,2025-07-05,C00201,P0207,Online,West,7,221.16,0.12,1548.12,1362.35,776.54,585.81,PROMO-A,Card,false
S000202,2025-07-06,C00202,P0214,Partner,East,8,57.13,0.15,457.04,388.48,231.15,157.34,PROMO-B,ACH,false
S000203,2025-07-07,C00203,P0221,Direct,Central,9,250.00,0.18,2250.00,1845.00,1143.90,701.10,PROMO-C,Wire,false
S000204,2025-07-08,C00204,P0228,InsideSales,South,10,25.88,0.00,258.82,258.82,166.94,91.88,PROMO-D,Invoice,false
S000205,2025-07-09,C00205,P0235,Online,West,11,265.08,0.03,2915.88,2828.40,1895.03,933.37,,Card,true
S000206,2025-07-10,C00206,P0242,Partner,East,12,43.93,0.06,527.16,495.53,344.39,151.14,PROMO-B,ACH,false
S000207,2025-07-11,C00207,P0249,Direct,Central,13,436.50,0.09,5674.50,5163.80,3717.93,1445.86,PROMO-C,Wire,false
S000208,2025-07-12,C00208,P0256,InsideSales,South,14,44.82,0.12,627.45,552.15,411.35,140.80,PROMO-D,Invoice,false
S000209,2025-07-13,C00209,P0263,Online,West,15,336.00,0.15,5040.00,4284.00,2441.88,1842.12,PROMO-A,Card,false
S000210,2025-07-14,C00210,P0270,Partner,East,1,217.21,0.18,217.21,178.11,105.98,72.14,,ACH,false
S000211,2025-08-15,C00211,P0277,Direct,Central,2,611.00,0.00,1222.00,1222.00,757.64,464.36,PROMO-C,Wire,false
S000212,2025-08-16,C00212,P0284,InsideSales,South,3,14.80,0.03,44.41,43.08,27.78,15.29,PROMO-D,Invoice,false
S000213,2025-08-17,C00213,P0291,Online,West,4,378.30,0.06,1513.20,1422.41,953.01,469.39,PROMO-A,Card,false
