product_id,product_name,category,sub_category,list_price,standard_cost,is_active,launch_date
P0060,Product-0060,Accessories,Analytics,55.50,35.80,true,2025-12-04
P0061,Product-0061,Hardware,ERP,250.00,167.50,true,2022-01-05
P0062,Product-0062,Software,Support,46.00,31.97,true,2023-02-06
P0063,Product-0063,Services,Consulting,336.00,241.92,true,2024-03-07
P0064,Product-0064,Accessories,Training,15.50,8.06,true,2025-04-08
P0065,Product-0065,Hardware,Care,350.00,190.75,true,2022-05-09
P0066,Product-0066,Software,Peripheral,70.00,39.90,true,2023-06-10
P0067,Product-0067,Services,Compute,408.00,242.76,true,2024-07-11
P0068,Product-0068,Accessories,Security,25.50,15.81,false,2025-08-12
P0069,Product-0069,Hardware,Network,450.00,290.25,true,2022-09-13
P0070,Product-0070,Software,CRM,94.00,62.98,true,2023-10-14
P0071,Product-0071,Services,Analytics,480.00,333.60,true,2024-11-15
P0072,Product-0072,Accessories,ERP,35.50,25.56,true,2025-12-16
P0073,Product-0073,Hardware,Support,550.00,286.00,true,2022-01-17
P0074,Product-0074,Software,Consulting,118.00,64.31,true,2023-02-18
P0075,Product-0075,Services,Training,552.00,314.64,true,2024-03-19
P0076,Product-0076,Accessories,Care,45.50,27.07,true,2025-04-20
P0077,Product-0077,Hardware,Peripheral,650.00,403.00,true,2022-05-21
P0078,Product-0078,Software,Compute,142.00,91.59,true,2023-06-22
P0079,Product-0079,Services,Security,174.00,116.58,true,2024-07-23
P0080,Product-0080,Accessories,Network,55.50,38.57,true,2025-08-24
P0081,Product-0081,Hardware,CRM,250.00,180.00,true,2022-09-25
P0082,Product-0082,Software,Analytics,166.00,86.32,true,2023-10-26
P0083,Product-0083,Services,ERP,246.00,134.07,true,2024-11-27
P0084,Product-0084,Accessories,Support,15.50,8.84,true,2025-12-28
P0085,Product-0085,Hardware,Consulting,350.00,208.25,false,2022-01-01
P0086,Product-0086,Software,Training,190.00,117.80,true,2023-02-02
P0087,Product-0087,Services,Care,318.00,205.11,true,2024-03-03
P0088,Product-0088,Accessories,Peripheral,25.50,17.09,true,2025-04-04
P0089,Product-0089,Hardware,Compute,450.00,312.75,true,2022-05-05
P0090,Product-0090,Software,Security,214.00,154.08,true,2023-06-06
P0091,Product-0091,Services,Network,390.00,202.80,true,2024-07-07
P0092,Product-0092,Accessories,CRM,35.50,19.35,true,2025-08-08
P0093,Product-0093,Hardware,Analytics,550.00,313.50,true,2022-09-09
P0094,Product-0094,Software,ERP,58.00,34.51,true,2023-10-10
P0095,Product-0095,Services,Support,462.00,286.44,true,2024-11-11
P0096,Product-0096,Accessories,Consulting,45.50,29.35,true,2025-12-12
P0097,Product-0097,Hardware,Training,650.00,435.50,true,2022-01-13
P0098,Product-0098,Software,Care,82.00,56.99,true,2023-02-14
P0099,Product-0099,Services,Peripheral,534.00,384.48,true,2024-03-15
P0100,Product-0100,Accessories,Compute,55.50,28.86,true,2025-04-16
P0101,Product-0101,Hardware,Security,250.00,136.25,true,2022-05-17
P0102,Product-0102,Software,Network,106.00,60.42,false,2023-06-18
P0103,Product-0103,Services,CRM,156.00,92.82,true,2024-07-19
P0104,Product-0104,Accessories,Analytics,15.50,9.61,true,2025-08-20
P0105,Product-0105,Hardware,ERP,350.00,225.75,true,2022-09-21
P0106,Product-0106,Software,Support,130.00,87.10,true,2023-10-22
P0107,Product-0107,Services,Consulting,228.00,158.46,true,2024-11-23
P0108,Product-0108,Accessories,Training,25.50,18.36,true,2025-12-24
P0109,Product-0109,Hardware,Care,450.00,234.00,true,2022-01-25
P0110,Product-0110,Software,Peripheral,154.00,83.93,true,2023-02-26
P0111,Product-0111,Services,Compute,300.00,171.00,true,2024-03-27
P0112,Product-0112,Accessories,Security,35.50,21.12,true,2025-04-28
P0113,Product-0113,Hardware,Network,550.00,341.00,true,2022-05-01
P0114,Product-0114,Software,CRM,178.00,114.81,true,2023-06-02
P0115,Product-0115,Services,Analytics,372.00,249.24,true,2024-07-03
P0116,Product-0116,Accessories,ERP,45.50,31.62,true,2025-08-04
P0117,Product-0117,Hardware,Support,650.00,468.00,true,2022-09-05
P0118,Product-0118,Software,Consulting,202.00,105.04,true,2023-10-06
P0119,Product-0119,Services,Training,444.00,241.98,false,2024-11-07
P0120,Product-0120,Accessories,Care,55.50,31.64,true,2025-12-08
P0121,Product-0121,Hardware,Peripheral,250.00,148.75,true,2022-01-09
P0122,Product-0122,Software,Compute,46.00,28.52,true,2023-02-10
P0123,Product-0123,Services,Security,516.00,332.82,true,2024-03-11
P0124,Product-0124,Accessories,Network,15.50,10.38,true,2025-04-12
P0125,Product-0125,Hardware,CRM,350.00,243.25,true,2022-05-13
P0126,Product-0126,Software,Analytics,70.00,50.40,true,2023-06-14
P0127,Product-0127,Services,ERP,138.00,71.76,true,2024-07-15
P0128,Product-0128,Accessories,Support,25.50,13.90,true,2025-08-16
P0129,Product-0129,Hardware,Consulting,450.00,256.50,true,2022-09-17
P0130,Product-0130,Software,Training,94.00,55.93,true,2023-10-18
P0131,Product-0131,Services,Care,210.00,130.20,true,2024-11-19
P0132,Product-0132,Accessories,Peripheral,35.50,22.90,true,2025-12-20
P0133,Product-0133,Hardware,Compute,550.00,368.50,true,2022-01-21
P0134,Product-0134,Software,Security,118.00,82.01,true,2023-02-22
P0135,Product-0135,Services,Network,282.00,203.04,true,2024-03-23
P0136,Product-0136,Accessories,CRM,45.50,23.66,false,2025-04-24
P0137,Product-0137,Hardware,Analytics,650.00,354.25,true,2022-05-25
P0138,Product-0138,Software,ERP,142.00,80.94,true,2023-06-26
P0139,Product-0139,Services,Support,354.00,210.63,true,2024-07-27
P0140,Product-0140,Accessories,Consulting,55.50,34.41,true,2025-08-28
P0141,Product-0141,Hardware,Training,250.00,161.25,true,2022-09-01
P0142,Product-0142,Software,Care,166.00,111.22,true,2023-10-02
P0143,Product-0143,Services,Peripheral,426.00,296.07,true,2024-11-03
P0144,Product-0144,Accessories,Compute,15.50,11.16,true,2025-12-04
P0145,Product-0145,Hardware,Security,350.00,182.00,true,2022-01-05
P0146,Product-0146,Software,Network,190.00,103.55,true,2023-02-06
P0147,Product-0147,Services,CRM,498.00,283.86,true,2024-03-07
P0148,Product-0148,Accessories,Analytics,25.50,15.17,true,2025-04-08
P0149,Product-0149,Hardware,ERP,450.00,279.00,true,2022-05-09
P0150,Product-0150,Software,Support,214.00,138.03,true,2023-06-10
P0151,Product-0151,Services,Consulting,120.00,80.40,true,2024-07-11
P0152,Product-0152,Accessories,Training,35.50,24.67,true,2025-08-12
P0153,Product-0153,Hardware,Care,550.00,396.00,false,2022-09-13
P0154,Product-0154,Software,Peripheral,58.00,30.16,true,2023-10-14
P0155,Product-0155,Services,Compute,192.00,104.64,true,2024-11-15
P0156,Product-0156,Accessories,Security,45.50,25.94,true,2025-12-16
P0157,Product-0157,Hardware,Network,650.00,386.75,true,2022-01-17
P0158,Product-0158,Software,CRM,82.00,50.84,true,2023-02-18
P0159,Product-0159,Services,Analytics,264.00,170.28,true,2024-03-19
P0160,Product-0160,Accessories,ERP,55.50,37.19,true,2025-04-20
P0161,Product-0161,Hardware,Support,250.00,173.75,true,2022-05-21
P0162,Product-0162,Software,Consulting,106.00,76.32,true,2023-06-22
P0163,Product-0163,Services,Training,336.00,174.72,true,2024-07-23
P0164,Product-0164,Accessories,Care,15.50,8.45,true,2025-08-24
P0165,Product-0165,Hardware,Peripheral,350.00,199.50,true,2022-09-25
P0166,Product-0166,Software,Compute,130.00,77.35,true,2023-10-26
P0167,Product-0167,Services,Security,408.00,252.96,true,2024-11-27
P0168,Product-0168,Accessories,Network,25.50,16.45,true,2025-12-28
P0169,Product-0169,Hardware,CRM,450.00,301.50,true,2022-01-01
P0170,Product-0170,Software,Analytics,154.00,107.03,false,2023-02-02
P0171,Product-0171,Services,ERP,480.00,345.60,true,2024-03-03
P0172,Product-0172,Accessories,Support,35.50,18.46,true,2025-04-04
P0173,Product-0173,Hardware,Consulting,550.00,299.75,true,2022-05-05
P0174,Product-0174,Software,Training,178.00,101.46,true,2023-06-06
P0175,Product-0175,Services,Care,552.00,328.44,true,2024-07-07
P0176,Product-0176,Accessories,Peripheral,45.50,28.21,true,2025-08-08
P0177,Product-0177,Hardware,Compute,650.00,419.25,true,2022-09-09
P0178,Product-0178,Software,Security,202.00,135.34,true,2023-10-10
P0179,Product-0179,Services,Network,174.00,120.93,true,2024-11-11
P0180,Product-0180,Accessories,CRM,55.50,39.96,true,2025-12-12
P0181,Product-0181,Hardware,Analytics,250.00,130.00,true,2022-01-13
P0182,Product-0182,Software,ERP,46.00,25.07,true,2023-02-14
P0183,Product-0183,Services,Support,246.00,140.22,true,2024-03-15
P0184,Product-0184,Accessories,Consulting,15.50,9.22,true,2025-04-16
P0185,Product-0185,Hardware,Training,350.00,217.00,true,2022-05-17
P0186,Product-0186,Software,Care,70.00,45.15,true,2023-06-18
P0187,Product-0187,Services,Peripheral,318.00,213.06,false,2024-07-19
P0188,Product-0188,Accessories,Compute,25.50,17.72,true,2025-08-20
P0189,Product-0189,Hardware,Security,450.00,324.00,true,2022-09-21
P0190,Product-0190,Software,Network,94.00,48.88,true,2023-10-22
P0191,Product-0191,Services,CRM,390.00,212.55,true,2024-11-23
P0192,Product-0192,Accessories,Analytics,35.50,20.24,true,2025-12-24
P0193,Product-0193,Hardware,ERP,550.00,327.25,true,2022-01-25
P0194,Product-0194,Software,Support,118.00,73.16,true,2023-02-26
P0195,Product-0195,Services,Consulting,462.00,297.99,true,2024-03-27
P0196,Product-0196,Accessories,Training,45.50,30.49,true,2025-04-28
P0197,Product-0197,Hardware,Care,650.00,451.75,true,2022-05-01
P0198,Product-0198,Software,Peripheral,142.00,102.24,true,2023-06-02
P0199,Product-0199,Services,Compute,534.00,277.68,true,2024-07-03
P0200,Product-0200,Accessories,Security,55.50,30.25,true,2025-08-04
P0201,Product-0201,Hardware,Network,250.00,142.50,true,2022-09-05
P0202,Product-0202,Software,CRM,166.00,98.77,true,2023-10-06
P0203,Product-0203,Services,Analytics,156.00,96.72,true,2024-11-07
P0204,Product-0204,Accessories,ERP,15.50,10.00,false,2025-12-08
P0205,Product-0205,Hardware,Support,350.00,234.50,true,2022-01-09
P0206,Product-0206,Software,Consulting,190.00,132.05,true,2023-02-10
P0207,Product-0207,Services,Training,228.00,164.16,true,2024-03-11
P0208,Product-0208,Accessories,Care,25.50,13.26,true,2025-04-12
P0209,Product-0209,Hardware,Peripheral,450.00,245.25,true,2022-05-13
P0210,Product-0210,Software,Compute,214.00,121.98,true,2023-06-14
P0211,Product-0211,Services,Security,300.00,178.50,true,2024-07-15
P0212,Product-0212,Accessories,Network,35.50,22.01,true,2025-08-16
P0213,Product-0213,Hardware,CRM,550.00,354.75,true,2022-09-17
P0214,Product-0214,Software,Analytics,58.00,38.86,true,2023-10-18
P0215,Product-0215,Services,ERP,372.00,258.54,true,2024-11-19
P0216,Product-0216,Accessories,Support,45.50,32.76,true,2025-12-20
P0217,Product-0217,Hardware,Consulting,650.00,338.00,true,2022-01-21
P0218,Product-0218,Software,Training,82.00,44.69,true,2023-02-22
P0219,Product-0219,Services,Care,444.00,253.08,true,2024-03-23
P0220,Product-0220,Accessories,Peripheral,55.50,33.02,true,2025-04-24
P0221,Product-0221,Hardware,Compute,250.00,155.00,false,2022-05-25
P0222,Product-0222,Software,Security,106.00,68.37,true,2023-06-26
P0223,Product-0223,Services,Network,516.00,345.72,true,2024-07-27
P0224,Product-0224,Accessories,CRM,15.50,10.77,true,2025-08-28
P0225,Product-0225,Hardware,Analytics,350.00,252.00,true,2022-09-01
P0226,Product-0226,Software,ERP,130.00,67.60,true,2023-10-02
P0227,Product-0227,Services,Support,138.00,75.21,true,2024-11-03
P0228,Product-0228,Accessories,Consulting,25.50,14.54,true,2025-12-04
P0229,Product-0229,Hardware,Training,450.00,267.75,true,2022-01-05
P0230,Product-0230,Software,Care,154.00,95.48,true,2023-02-06
P0231,Product-0231,Services,Peripheral,210.00,135.45,true,2024-03-07
P0232,Product-0232,Accessories,Compute,35.50,23.79,true,2025-04-08
P0233,Product-0233,Hardware,Security,550.00,382.25,true,2022-05-09
P0234,Product-0234,Software,Network,178.00,128.16,true,2023-06-10
P0235,Product-0235,Services,CRM,282.00,146.64,true,2024-07-11
P0236,Product-0236,Accessories,Analytics,45.50,24.80,true,2025-08-12
P0237,Product-0237,Hardware,ERP,650.00,370.50,true,2022-09-13
P0238,Product-0238,Software,Support,202.00,120.19,false,2023-10-14
P0239,Product-0239,Services,Consulting,354.00,219.48,true,2024-11-15
P0240,Product-0240,Accessories,Training,55.50,35.80,true,2025-12-16
P0241,Product-0241,Hardware,Care,250.00,167.50,true,2022-01-17
P0242,Product-0242,Software,Peripheral,46.00,31.97,true,2023-02-18
P0243,Product-0243,Services,Compute,426.00,306.72,true,2024-03-19
P0244,Product-0244,Accessories,Security,15.50,8.06,true,2025-04-20
P0245,Product-0245,Hardware,Network,350.00,190.75,true,2022-05-21
P0246,Product-0246,Software,CRM,70.00,39.90,true,2023-06-22
P0247,Product-0247,Services,Analytics,498.00,296.31,true,2024-07-23
P0248,Product-0248,Accessories,ERP,25.50,15.81,true,2025-08-24
P0249,Product-0249,Hardware,Support,450.00,290.25,true,2022-09-25
P0250,Product-0250,Software,Consulting,94.00,62.98,true,2023-10-26
P0251,Product-0251,Services,Training,120.00,83.40,true,2024-11-27
P0252,Product-0252,Accessories,Care,35.50,25.56,true,2025-12-28
P0253,Product-0253,Hardware,Peripheral,550.00,286.00,true,2022-01-01
P0254,Product-0254,Software,Compute,118.00,64.31,true,2023-02-02
P0255,Product-0255,Services,Security,192.00,109.44,false,2024-03-03
P0256,Product-0256,Accessories,Network,45.50,27.07,true,2025-04-04
P0257,Product-0257,Hardware,CRM,650.00,403.00,true,2022-05-05
P0258,Product-0258,Software,Analytics,142.00,91.59,true,2023-06-06
P0259,Product-0259,Services,ERP,264.00,176.88,true,2024-07-07
P0260,Product-0260,Accessories,Support,55.50,38.57,true,2025-08-08
P0261,Product-0261,Hardware,Consulting,250.00,180.00,true,2022-09-09
P0262,Product-0262,Software,Training,166.00,86.32,true,2023-10-10
P0263,Product-0263,Services,Care,336.00,183.12,true,2024-11-11
P0264,Product-0264,Accessories,Peripheral,15.50,8.84,true,2025-12-12
P0265,Product-0265,Hardware,Compute,350.00,208.25,true,2022-01-13
P0266,Product-0266,Software,Security,190.00,117.80,true,2023-02-14
P0267,Product-0267,Services,Network,408.00,263.16,true,2024-03-15
P0268,Product-0268,Accessories,CRM,25.50,17.09,true,2025-04-16
P0269,Product-0269,Hardware,Analytics,450.00,312.75,true,2022-05-17
P0270,Product-0270,Software,ERP,214.00,154.08,true,2023-06-18
P0271,Product-0271,Services,Support,480.00,249.60,true,2024-07-19
P0272,Product-0272,Accessories,Consulting,35.50,19.35,false,2025-08-20
P0273,Product-0273,Hardware,Training,550.00,313.50,true,2022-09-21
P0274,Product-0274,Software,Care,58.00,34.51,true,2023-10-22
P0275,Product-0275,Services,Peripheral,552.00,342.24,true,2024-11-23
P0276,Product-0276,Accessories,Compute,45.50,29.35,true,2025-12-24
P0277,Product-0277,Hardware,Security,650.00,435.50,true,2022-01-25
P0278,Product-0278,Software,Network,82.00,56.99,true,2023-02-26
P0279,Product-0279,Services,CRM,174.00,125.28,true,2024-03-27
P0280,Product-0280,Accessories,Analytics,55.50,28.86,true,2025-04-28
P0281,Product-0281,Hardware,ERP,250.00,136.25,true,2022-05-01
P0282,Product-0282,Software,Support,106.00,60.42,true,2023-06-02
P0283,Product-0283,Services,Consulting,246.00,146.37,true,2024-07-03
P0284,Product-0284,Accessories,Training,15.50,9.61,true,2025-08-04
P0285,Product-0285,Hardware,Care,350.00,225.75,true,2022-09-05
P0286,Product-0286,Software,Peripheral,130.00,87.10,true,2023-10-06
P0287,Product-0287,Services,Compute,318.00,221.01,true,2024-11-07
P0288,Product-0288,Accessories,Security,25.50,18.36,true,2025-12-08
P0289,Product-0289,Hardware,Network,450.00,234.00,false,2022-01-09
P0290,Product-0290,Software,CRM,154.00,83.93,true,2023-02-10
P0291,Product-0291,Services,Analytics,390.00,222.30,true,2024-03-11
P0292,Product-0292,Accessories,ERP,35.50,21.12,true,2025-04-12
P0293,Product-0293,Hardware,Support,550.00,341.00,true,2022-05-13
P0294,Product-0294,Software,Consulting,178.00,114.81,true,2023-06-14
P0295,Product-0295,Services,Training,462.00,309.54,true,2024-07-15
P0296,Product-0296,Accessories,Care,45.50,31.62,true,2025-08-16
P0297,Product-0297,Hardware,Peripheral,650.00,468.00,true,2022-09-17
P0298,Product-0298,Software,Compute,202.00,105.04,true,2023-10-18
P0299,Product-0299,Services,Security,534.00,291.03,true,2024-11-19
P0300,Product-0300,Accessories,Network,55.50,31.64,true,2025-12-20
P0301,Product-0301,Hardware,CRM,250.00,148.75,true,2022-01-21
P0302,Product-0302,Software,Analytics,46.00,28.52,true,2023-02-22
P0303,Product-0303,Services,ERP,156.00,100.62,true,2024-03-23
P0304,Product-0304,Accessories,Support,15.50,10.38,true,2025-04-24
P0305,Product-0305,Hardware,Consulting,350.00,243.25,true,2022-05-25
P0306,Product-0306,Software,Training,70.00,50.40,false,2023-06-26
P0307,Product-0307,Services,Care,228.00,118.56,true,2024-07-27
P0308,Product-0308,Accessories,Peripheral,25.50,13.90,true,2025-08-28
P0309,Product-0309,Hardware,Compute,450.00,256.50,true,2022-09-01
P0310,Product-0310,Software,Security,94.00,55.93,true,2023-10-02
P0311,Product-0311,Services,Network,300.00,186.00,true,2024-11-03
P0312,Product-0312,Accessories,CRM,35.50,22.90,true,2025-12-04
P0313,Product-0313,Hardware,Analytics,550.00,368.50,true,2022-01-05
P0314,Product-0314,Software,ERP,118.00,82.01,true,2023-02-06
P0315,Product-0315,Services,Support,372.00,267.84,true,2024-03-07
P0316,Product-0316,Accessories,Consulting,45.50,23.66,true,2025-04-08
P0317,Product-0317,Hardware,Training,650.00,354.25,true,2022-05-09
P0318,Product-0318,Software,Care,142.00,80.94,true,2023-06-10
P0319,Product-0319,Services,Peripheral,444.00,264.18,true,2024-07-11
P0320,Product-0320,Accessories,Compute,55.50,34.41,true,2025-08-12
P0321,Product-0321,Hardware,Security,250.00,161.25,true,2022-09-13
P0322,Product-0322,Software,Network,166.00,111.22,true,2023-10-14
P0323,Product-0323,Services,CRM,516.00,358.62,false,2024-11-15
P0324,Product-0324,Accessories,Analytics,15.50,11.16,true,2025-12-16
P0325,Product-0325,Hardware,ERP,350.00,182.00,true,2022-01-17
P0326,Product-0326,Software,Support,190.00,103.55,true,2023-02-18
P0327,Product-0327,Services,Consulting,138.00,78.66,true,2024-03-19
P0328,Product-0328,Accessories,Training,25.50,15.17,true,2025-04-20
P0329,Product-0329,Hardware,Care,450.00,279.00,true,2022-05-21
P0330,Product-0330,Software,Peripheral,214.00,138.03,true,2023-06-22
P0331,Product-0331,Services,Compute,210.00,140.70,true,2024-07-23
P0332,Product-0332,Accessories,Security,35.50,24.67,true,2025-08-24
P0333,Product-0333,Hardware,Network,550.00,396.00,true,2022-09-25
P0334,Product-0334,Software,CRM,58.00,30.16,true,2023-10-26
P0335,Product-0335,Services,Analytics,282.00,153.69,true,2024-11-27
P0336,Product-0336,Accessories,ERP,45.50,25.94,true,2025-12-28
P0337,Product-0337,Hardware,Support,650.00,386.75,true,2022-01-01
P0338,Product-0338,Software,Consulting,82.00,50.84,true,2023-02-02
P0339,Product-0339,Services,Training,354.00,228.33,true,2024-03-03
P0340,Product-0340,Accessories,Care,55.50,37.19,false,2025-04-04
P0341,Product-0341,Hardware,Peripheral,250.00,173.75,true,2022-05-05
P0342,Product-0342,Software,Compute,106.00,76.32,true,2023-06-06
P0343,Product-0343,Services,Security,426.00,221.52,true,2024-07-07
P0344,Product-0344,Accessories,Network,15.50,8.45,true,2025-08-08
P0345,Product-0345,Hardware,CRM,350.00,199.50,true,2022-09-09
P0346,Product-0346,Software,Analytics,130.00,77.35,true,2023-10-10
P0347,Product-0347,Services,ERP,498.00,308.76,true,2024-11-11
P0348,Product-0348,Accessories,Support,25.50,16.45,true,2025-12-12
P0349,Product-0349,Hardware,Consulting,450.00,301.50,true,2022-01-13
P0350,Product-0350,Software,Training,154.00,107.03,true,2023-02-14
P0351,Product-0351,Services,Care,120.00,86.40,true,2024-03-15
P0352,Product-0352,Accessories,Peripheral,35.50,18.46,true,2025-04-16
P0353,Product-0353,Hardware,Compute,550.00,299.75,true,2022-05-17
P0354,Product-0354,Software,Security,178.00,101.46,true,2023-06-18
P0355,Product-0355,Services,Network,192.00,114.24,true,2024-07-19
P0356,Product-0356,Accessories,CRM,45.50,28.21,true,2025-08-20
P0357,Product-0357,Hardware,Analytics,650.00,419.25,false,2022-09-21
P0358,Product-0358,Software,ERP,202.00,135.34,true,2023-10-22
P0359,Product-0359,Services,Support,264.00,183.48,true,2024-11-23
P0360,Product-0360,Accessories,Consulting,55.50,39.96,true,2025-12-24
P0361,Product-0361,Hardware,Training,250.00,130.00,true,2022-01-25
P0362,Product-0362,Software,Care,46.00,25.07,true,2023-02-26
P0363,Product-0363,Services,Peripheral,336.00,191.52,true,2024-03-27
P0364,Product-0364,Accessories,Compute,15.50,9.22,true,2025-04-28
P0365,Product-0365,Hardware,Security,350.00,217.00,true,2022-05-01
P0366,Product-0366,Software,Network,70.00,45.15,true,2023-06-02
P0367,Product-0367,Services,CRM,408.00,273.36,true,2024-07-03
P0368,Product-0368,Accessories,Analytics,25.50,17.72,true,2025-08-04
P0369,Product-0369,Hardware,ERP,450.00,324.00,true,2022-09-05
P0370,Product-0370,Software,Support,94.00,48.88,true,2023-10-06
P0371,Product-0371,Services,Consulting,480.00,261.60,true,2024-11-07
P0372,Product-0372,Accessories,Training,35.50,20.24,true,2025-12-08
P0373,Product-0373,Hardware,Care,550.00,327.25,true,2022-01-09
P0374,Product-0374,Software,Peripheral,118.00,73.16,false,2023-02-10
P0375,Product-0375,Services,Compute,552.00,356.04,true,2024-03-11
P0376,Product-0376,Accessories,Security,45.50,30.49,true,2025-04-12
P0377,Product-0377,Hardware,Network,650.00,451.75,true,2022-05-13
P0378,Product-0378,Software,CRM,142.00,102.24,true,2023-06-14
P0379,Product-0379,Services,Analytics,174.00,90.48,true,2024-07-15
P0380,Product-0380,Accessories,ERP,55.50,30.25,true,2025-08-16
P0381,Product-0381,Hardware,Support,250.00,142.50,true,2022-09-17
P0382,Product-0382,Software,Consulting,166.00,98.77,true,2023-10-18
P0383,Product-0383,Services,Training,246.00,152.52,true,2024-11-19
P0384,Product-0384,Accessories,Care,15.50,10.00,true,2025-12-20
P0385,Product-0385,Hardware,Peripheral,350.00,234.50,true,2022-01-21
P0386,Product-0386,Software,Compute,190.00,132.05,true,2023-02-22
P0387,Product-0387,Services,Security,318.00,228.96,true,2024-03-23
P0388,Product-0388,Accessories,Network,25.50,13.26,true,2025-04-24
P0389,Product-0389,Hardware,CRM,450.00,245.25,true,2022-05-25
P0390,Product-0390,Software,Analytics,214.00,121.98,true,2023-06-26
P0391,Product-0391,Services,ERP,390.00,232.05,false,2024-07-27
P0392,Product-0392,Accessories,Support,35.50,22.01,true,2025-08-28
P0393,Product-0393,Hardware,Consulting,550.00,354.75,true,2022-09-01
P0394,Product-0394,Software,Training,58.00,38.86,true,2023-10-02
P0395,Product-0395,Services,Care,462.00,321.09,true,2024-11-03
P0396,Product-0396,Accessories,Peripheral,45.50,32.76,true,2025-12-04
P0397,Product-0397,Hardware,Compute,650.00,338.00,true,2022-01-05
P0398,Product-0398,Software,Security,82.00,44.69,true,2023-02-06
P0399,Product-0399,Services,Network,534.00,304.38,true,2024-03-07
